"termname","weekname","subject","taskname","description","video_url"
"Term 2","Week 11","Mathematics","Times Table, 6 x","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121105786?h=4fe4962db9&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Six Times Table""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 11","Mathematics","Times Table, 7 x","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121105652?h=958559a7b3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 1","Week 5","Mathematics","Problems Involving Addition","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121734070?h=96b93fdc61&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 1","Week 5","Mathematics","Problems Involving Substraction","x","x"
"Term 1","Week 6","Mathematics","Mental Strategies for Addition","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121734055?h=f9c299ba92&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Mental Strategies for Addition""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 6","Mathematics","Mental Strategies for Subtraction","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730537?h=dfc51f905e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Mental Strategies for Subtraction (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","Times Tables, 8 x","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121105519?h=3af9129977&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Times table 8 Y4 Week 12""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","Times Table, 9 x","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121105041?h=6e0daa1e33&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Times table 9.1 Y4 Week 12""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","Connecting Multiplication and Division","a","<div style=""padding:75% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121104574?h=bbbe785567&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Connecting Multiplication and Division Y4 Week 12""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","Mathematics","Estimating by Rounding  Off","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730512?h=481405a366&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Estimating by Rounding Off y5 week7""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","Mathematics","24 Hour Time","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730487?h=7e277a0bd3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 13","Mathematics","Times Tables Mixed","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121101995?h=0ac1527208&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Times Table Mixed Y4 Week 13""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Times Tables – Missing Number","z","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121099688?h=87ade2ce9e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Times Table Missing Number""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Multiplication Facts (1 – 6)","s","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121095986?h=aa2c1690c1&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Multiplication Facts from 1 to 6 Y4 Week 13""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Multiplication Facts (7 – 12)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121059042?h=fae81790fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Multiplication Facts from 7 to 12""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 8","Mathematics","Contracted Multiplication","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730452?h=a1847e0b69&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 1","Week 8","Mathematics","Multiplying by tens, hundreds, and thousands","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730415?h=bbb01191d6&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 1","Week 8","Mathematics","Problems Involving Multiplication","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730325?h=b892816109&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 27","English","Commas and Dashes","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1143391185?h=454375f753&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Commas and Dashes Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 11","Mathematics","Subtracting 10, 20, 30, …","r","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121548018?h=235aade72b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Subtracting 10,20.. Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 11","Mathematics","2-Digit Subtraction (No Trading)","r",NULL
"Term 2","Week 11","Mathematics","Number Line","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1123513546?h=9fb84b6c4b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Number Line - Y (1)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 11","Mathematics","Division with Remainders","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730272?h=cc003ad027&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 11","Mathematics","Remainders by Grouping","x",NULL
"Term 3","Week 26","English","Coordinating Conjunctions",NULL,NULL
"Term 3","Week 26","English","Subordinating Conjunctions","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122920027?h=55b6be4cc3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 12","Mathematics","Remainders by Division Facts","x",NULL
"Term 2","Week 12","Mathematics","Short Division","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730224?h=5549fc3abe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Short Division""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","2-Digit Subtraction (With Trading)","r","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121547813?h=54e8146cbf&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Two digit subtraction with trading.2""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","Intro to Trading","r","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121547723?h=62b089009b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Introduction to Trading""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 12","Mathematics","3-Digit Subtraction (With Trading)","r","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141765799?h=a11c50fc9b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Three digit subtraction with trading1.1""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Short Division (with Remainder ) 1","x","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141811679?h=3d9883523d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Short Division (With Remainder) 1 Y5 Week 13 WIP""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 13","Mathematics","Short Division (with Remainder) 2","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1141811215?h=212370f303&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Short Division (With Remainder) 2 Y5 Weel 13 WIP""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 18","Mathematics","Grid coordinates","s","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121058307?h=757f0a1f15&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Grid Coordinates yr 4 Week 18""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 2","Week 14","Mathematics","Division with Fractional Remainder","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730106?h=f612486f1b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 14","Mathematics","Short Division with Fractional Remainder","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121730106?h=f612486f1b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 15","Mathematics","Dividing by tens, hundreds and thousands","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121727503?h=bed41bf761&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 15","Mathematics","Dividing by 10, 100, and 1000","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121727503?h=bed41bf761&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 15","Mathematics","Dividing by a multiple of ten","x",NULL
"Term 4","Week 31","English","Interrogative Words","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122919523?h=a491f70e86&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Interrogative Words""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 4","Week 32","English","Collective Nouns",NULL,NULL
"Term 4","Week 32","English","Count and Non-count Nouns",NULL,NULL
"Term 3","Week 21","Mathematics","Division by 3","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121727299?h=a7cbef4e7b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Division by 3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 3","Week 21","Mathematics","Division by 4","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121727143?h=c5059470b9&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 21","Mathematics","Division by 6","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726999?h=cc63ef16ed&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 21","Mathematics","Division by 7","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726920?h=c851521a07&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Copy of Y4 Division by 7""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 4","Week 33","English","Personal, Possessive and Reflexive Pronouns","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122913565?h=7f4f1ba927&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Pronouns Personal, Possessive, and Reflexive Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 3","Week 22","Mathematics","Division by 8","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726688?h=f92f1b9a94&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 22","Mathematics","Division by 9","a","<div style=""padding:75.00% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726555?h=5e8bb7d45d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 22","Mathematics","Division by 11","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726410?h=09889c951a&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 22","Mathematics","Division by 12","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121726828?h=e63b844f1c&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 2","Week 13","Mathematics","3-Digit Subtraction (Borrow, Pay-Back)","r",NULL
"Term 2","Week 13","Mathematics","2-Digit Subtraction( Borrow, Pay-Back)","a",NULL
"Term 4","Week 34","English","Modal Verbs_Will,Shall and Can","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122912006?h=79f8c6763f&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Modal Verbs Will, Shall, Can Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 4","Week 34","English","Modal Verbs_Would,Should and Could","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122911844?h=af997854d1&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Modal Verbs Would, Should, and Could Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 4","Week 35","English","Direct and Indirect Speech",NULL,NULL
"Term 3","Week 23","Mathematics","Division Facts (1 – 6 )","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121725843?h=158f16cf78&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 23","Mathematics","Division Facts ( 7 – 12)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121725424?h=e0ee0e8bd0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 23","Mathematics","Dividing by 10, 100, 1000","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121725175?h=b98a48abaf&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Division by 10s,100s adn 1000s""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 3","Week 24","Mathematics","Division of Large Numbers","x",NULL
"Term 3","Week 24","Mathematics","Division Algorithm","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121725144?h=fbe2a71231&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 24","Mathematics","Short Division ( 2-Digit)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121722910?h=654113ccbe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Short Division (2 digit)""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 3","Week 25","Mathematics","Short Division(3-Digit)","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121722778?h=ff4e3295da&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 3","Week 25","Mathematics","Dividing 4-digit numbers","x",NULL
"Term 2","Week 14","Mathematics","Checking Subtraction using Addition","r",NULL
"Term 2","Week 14","Mathematics","Word Problems for Subtraction with Regrouping","r",NULL
"Term 2","Week 14","Mathematics","Subtraction with regrouping (2 and 3 digit)","r",NULL
"Term 4","Week 36","English","Similes and Metaphors","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122898446?h=759af3982e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%2Fembed"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen="""" frameborder=""0"" style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
"Term 4","Week 36","English","Idiomatic Expressions",NULL,NULL
"Term 3","Week 25","Mathematics","Problems Involving Division","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1121722562?h=d93a1875b1&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Problems involving Division""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
